dim,target,offset
1.000000000000000000e+00, 3.000000000000000000e+00, 3.000000000000000000e+00
2.000000000000000000e+00, 6.000000000000000000e+00, 1.000000000000000000e+01
3.000000000000000000e+00, 1.400000000000000000e+01, 3.100000000000000000e+01
4.000000000000000000e+00, 3.850000000000000000e+01, 7.300000000000000000e+01
5.000000000000000000e+00, 9.800000000000000000e+01, 1.470000000000000000e+02
6.000000000000000000e+00, 2.585000000000000000e+02, 3.420000000000000000e+02
7.000000000000000000e+00, 8.300000000000000000e+02, 9.705000000000000000e+02
8.000000000000000000e+00, 2.418500000000000000e+03, 2.532000000000000000e+03
